missing_rate_target,chunk_index,day_index,file_name,eligible_count,allocated_missing_count,observed_chunk_missing_rate,global_eligible_count,global_missing_count,mask_scope,mechanism,allocation_method,seed
0.0,0,0,node_flow_chunk_000.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,1,1,node_flow_chunk_001.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,2,2,node_flow_chunk_002.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,3,3,node_flow_chunk_003.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,4,4,node_flow_chunk_004.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,5,5,node_flow_chunk_005.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,6,6,node_flow_chunk_006.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,7,7,node_flow_chunk_007.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,8,8,node_flow_chunk_008.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,9,9,node_flow_chunk_009.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,10,10,node_flow_chunk_010.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,11,11,node_flow_chunk_011.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,12,12,node_flow_chunk_012.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,13,13,node_flow_chunk_013.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,14,14,node_flow_chunk_014.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,15,15,node_flow_chunk_015.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,16,16,node_flow_chunk_016.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
0.0,17,17,node_flow_chunk_017.parquet,4034976,0,0.0,246133536,0,global,mcar_point,sequential_hypergeometric_global_without_replacement,42
