scenario,time_slot_within_day,missing_count,missing_ratio_within_scenario
nso_r05_mix_s42,0,111189,0.009034851568786603
nso_r05_mix_s42,1,121537,0.009875695933191389
nso_r05_mix_s42,2,122451,0.009949964559888912
nso_r05_mix_s42,3,126437,0.010273853778725158
nso_r05_mix_s42,4,125767,0.010219411787601154
nso_r05_mix_s42,5,123615,0.010044547362378975
nso_r05_mix_s42,6,124392,0.010107683820742187
nso_r05_mix_s42,7,124060,0.010080706595289694
nso_r05_mix_s42,8,125947,0.010234037994171781
nso_r05_mix_s42,9,126205,0.010255002223589682
nso_r05_mix_s42,10,126711,0.010296118115393781
nso_r05_mix_s42,11,126664,0.010292299050344785
nso_r05_mix_s42,12,124765,0.010137992571024657
nso_r05_mix_s42,13,125973,0.010236150668454206
nso_r05_mix_s42,14,124899,0.010148880969249457
nso_r05_mix_s42,15,129639,0.010534037742276002
nso_r05_mix_s42,16,128585,0.010448393177134656
nso_r05_mix_s42,17,127972,0.01039858281809135
nso_r05_mix_s42,18,130639,0.010615294445446158
nso_r05_mix_s42,19,130787,0.010627320437515343
nso_r05_mix_s42,20,131434,0.010679893524466433
nso_r05_mix_s42,21,126899,0.01031139437558977
nso_r05_mix_s42,22,127263,0.010340971815543708
nso_r05_mix_s42,23,126908,0.010312125685918303
nso_r05_mix_s42,24,128041,0.01040418953061009
nso_r05_mix_s42,25,129444,0.010518192685157822
nso_r05_mix_s42,26,132635,0.010777482824973792
nso_r05_mix_s42,27,132543,0.010770007208282138
nso_r05_mix_s42,28,128890,0.010473176471601554
nso_r05_mix_s42,29,128426,0.010435473361330602
nso_r05_mix_s42,30,129270,0.010504054018806214
nso_r05_mix_s42,31,131523,0.010687125371048578
nso_r05_mix_s42,32,132438,0.010761475254449272
nso_r05_mix_s42,33,128409,0.010434091997376709
nso_r05_mix_s42,34,130475,0.010601968346126252
nso_r05_mix_s42,35,129158,0.010494953268051155
nso_r05_mix_s42,36,128399,0.010433279430345006
nso_r05_mix_s42,37,130554,0.010608387625676695
nso_r05_mix_s42,38,128530,0.010443924058460298
nso_r05_mix_s42,39,128281,0.010423691139370929
nso_r05_mix_s42,40,128166,0.01041434661850636
nso_r05_mix_s42,41,126888,0.010310500551854899
nso_r05_mix_s42,42,132702,0.010782927024086193
nso_r05_mix_s42,43,132097,0.010733766718668249
nso_r05_mix_s42,44,129349,0.010510473298356656
nso_r05_mix_s42,45,126210,0.010255408507105533
nso_r05_mix_s42,46,129862,0.010552157987082946
nso_r05_mix_s42,47,130666,0.010617488376431753
nso_r05_mix_s42,48,130462,0.01060091200898504
nso_r05_mix_s42,49,129703,0.010539238171278891
nso_r05_mix_s42,50,132522,0.010768300817515565
nso_r05_mix_s42,51,131520,0.010686881600939068
nso_r05_mix_s42,52,131233,0.010663560927129232
nso_r05_mix_s42,53,131963,0.010722878320443448
nso_r05_mix_s42,54,126359,0.010267515755877886
nso_r05_mix_s42,55,123477,0.010033333937341493
nso_r05_mix_s42,56,124286,0.010099070610206151
nso_r05_mix_s42,57,128233,0.01041979081761876
nso_r05_mix_s42,58,126175,0.010252564522494578
nso_r05_mix_s42,59,130425,0.010597905510967745
nso_r05_mix_s42,60,129737,0.010542000899186678
nso_r05_mix_s42,61,128897,0.010473745268523744
nso_r05_mix_s42,62,130145,0.010575153634080101
nso_r05_mix_s42,63,130295,0.010587342139555625
nso_r05_mix_s42,64,129174,0.010496253375301879
nso_r05_mix_s42,65,128130,0.010411421377192235
nso_r05_mix_s42,66,126804,0.010303674988788607
nso_r05_mix_s42,67,123778,0.01005779220499571
nso_r05_mix_s42,68,126196,0.01025427091326115
nso_r05_mix_s42,69,122930,0.009988886520707417
nso_r05_mix_s42,70,123217,0.010012207194517253
nso_r05_mix_s42,71,123901,0.01006778677948564
nso_r05_mix_s42,72,125916,0.010231519036373506
nso_r05_mix_s42,73,125022,0.010158875543739386
nso_r05_mix_s42,74,125442,0.010193003359070852
nso_r05_mix_s42,75,128017,0.010402239369734006
nso_r05_mix_s42,76,130247,0.010583441817803458
nso_r05_mix_s42,77,129663,0.010535987903152086
nso_r05_mix_s42,78,129570,0.01052843102975726
nso_r05_mix_s42,79,130175,0.010577591335175206
nso_r05_mix_s42,80,129811,0.010548013895221269
nso_r05_mix_s42,81,133859,0.010876941029654065
