节点ID,node_flow_reference,flow_group,node_history_q95
1520263927,1135.810546875,low_flow,1135.810546875
1520263943,2911.06640625,mid_flow,2911.06640625
1520264111,1877.9951171875,mid_flow,1877.9951171875
1520264147,1395.2261962890625,low_flow,1395.2261962890625
1520264551,1910.6273193359375,mid_flow,1910.6273193359375
1520264567,1261.1761474609375,low_flow,1261.1761474609375
1520264591,1494.6832275390625,mid_flow,1494.6832275390625
1520264599,1210.288330078125,low_flow,1210.288330078125
1520264620,1499.9993896484375,mid_flow,1499.9993896484375
1520264624,4107.208984375,high_flow,4107.208984375
1520264629,1372.619384765625,low_flow,1372.619384765625
1520264641,3809.97412109375,high_flow,3809.97412109375
1520264643,1311.1087646484375,low_flow,1311.1087646484375
1520264680,2142.91064453125,mid_flow,2142.91064453125
1520264702,1483.830810546875,low_flow,1483.830810546875
1520264720,2959.889892578125,high_flow,2959.889892578125
1520265324,2468.4140625,mid_flow,2468.4140625
1520265336,2977.787841796875,high_flow,2977.787841796875
1520265359,1446.58837890625,low_flow,1446.58837890625
1520265361,2930.522705078125,mid_flow,2930.522705078125
1520265368,2924.815673828125,mid_flow,2924.815673828125
1520265381,2705.852783203125,mid_flow,2705.852783203125
1520265390,2913.65087890625,mid_flow,2913.65087890625
1520265412,2862.43212890625,mid_flow,2862.43212890625
1520265424,2996.885986328125,high_flow,2996.885986328125
1520265427,2819.07177734375,mid_flow,2819.07177734375
1520265428,2115.674560546875,mid_flow,2115.674560546875
1520265432,1486.1953125,low_flow,1486.1953125
1520265445,4488.22802734375,high_flow,4488.22802734375
1520265446,1120.54833984375,low_flow,1120.54833984375
1520265451,1692.7254638671875,mid_flow,1692.7254638671875
1520265457,786.6740112304688,low_flow,786.6740112304688
1520265469,353.7325744628906,low_flow,353.7325744628906
1520265471,2788.142578125,mid_flow,2788.142578125
1520265478,1499.18994140625,mid_flow,1499.18994140625
1520265480,3721.593505859375,high_flow,3721.593505859375
1520265491,2935.785400390625,mid_flow,2935.785400390625
1520265494,4466.4013671875,high_flow,4466.4013671875
1520265502,1277.1114501953125,low_flow,1277.1114501953125
1520265504,2992.056396484375,high_flow,2992.056396484375
1520265517,3913.209228515625,high_flow,3913.209228515625
1520265526,244.33763122558594,low_flow,244.33763122558594
1520265528,1495.7923583984375,mid_flow,1495.7923583984375
1520265532,0.0,low_flow,0.0
1520265537,4445.78271484375,high_flow,4445.78271484375
1520265552,1497.6007080078125,mid_flow,1497.6007080078125
1520266226,1705.5369873046875,mid_flow,1705.5369873046875
1520266261,1198.6741943359375,low_flow,1198.6741943359375
1520266271,244.33763122558594,low_flow,244.33763122558594
1520266294,1357.5914306640625,low_flow,1357.5914306640625
1520266303,1073.9212646484375,low_flow,1073.9212646484375
1520266311,1722.2222900390625,mid_flow,1722.2222900390625
1520266322,2999.991455078125,high_flow,2999.991455078125
1520266334,368.2231750488281,low_flow,368.2231750488281
1520266339,2589.476806640625,mid_flow,2589.476806640625
1520266344,1569.1387939453125,mid_flow,1569.1387939453125
1520266345,1806.0816650390625,mid_flow,1806.0816650390625
1520266352,1486.1953125,low_flow,1486.1953125
1520266362,1445.380615234375,low_flow,1445.380615234375
1520266370,1692.7254638671875,mid_flow,1692.7254638671875
1520266384,2924.815673828125,mid_flow,2924.815673828125
1520266392,2960.317138671875,high_flow,2960.317138671875
1520266419,1371.879150390625,low_flow,1371.879150390625
