experiment,method,seed,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round
cnn_fed_enhanced_main,FedAvg,42,63.93697967529297,7.0375811074697765,5.704802227020264,27.233392149209976,0.24179482324476015,,,5,5
cnn_fed_enhanced_main,Proposed,42,68.53563938140869,7.219045301068947,5.860460329055786,27.500658333301544,0.22149659908680203,,,5,5
cnn_fed_enhanced_main,Independent,42,57.682316303253174,6.9170138278633235,5.448991394042968,21.887592189013958,0.19296950516108885,,,0,10
cnn_fed_enhanced_main,FedAvg,2024,50.758385848999026,6.5672796821278725,4.935297632217408,25.311924517154694,0.30856403741830213,,,5,5
cnn_fed_enhanced_main,Proposed,2024,50.36533317565918,6.541976646976073,4.872353553771973,25.05830578505993,0.31387795062431895,,,5,5
cnn_fed_enhanced_main,Independent,2024,76.71888542175293,8.066067160885897,6.4213367938995365,22.917660251259804,0.03158510724203969,,,0,10
cnn_fed_enhanced_main,FedAvg,3407,57.293300819396975,6.7010769563353705,4.884484529495239,50.33025037497282,0.41874061271734864,,,5,5
cnn_fed_enhanced_main,Proposed,3407,57.196389484405515,6.726337804557443,4.867896795272827,49.71502278000116,0.4112316284891236,,,5,5
cnn_fed_enhanced_main,Independent,3407,65.73505992889405,7.305714653121036,5.795640707015991,36.03899039328098,0.2419460349004919,,,0,10
cnn_fed_enhanced_main,FedAvg,1234,92.27866115570069,7.797150880882137,6.208917093276978,80.13721436262131,0.3717063617801023,,,5,5
cnn_fed_enhanced_main,Proposed,1234,90.34624471664429,7.720913568890765,6.109316015243531,76.55464459210634,0.3825019315653485,,,5,5
cnn_fed_enhanced_main,Independent,1234,85.79609642028808,7.938120574832075,6.317770385742188,128.9408502727747,0.2647269343666839,,,0,10
cnn_fed_enhanced_main,FedAvg,5678,77.13709630966187,7.424407498528031,5.863330578804016,12.843283973634243,0.3100294288317217,,,5,5
cnn_fed_enhanced_main,Proposed,5678,74.19988746643067,7.304092358175086,5.754841876029968,12.669822871685028,0.33004859916191476,,,5,5
cnn_fed_enhanced_main,Independent,5678,72.98373527526856,7.582219077244903,6.070668268203735,13.576202020049095,0.21565178392857653,,,0,10
