client_id,hour,traffic_flow
0,0,102.77303314208984
0,1,102.54717254638672
0,2,101.38788604736328
0,3,101.21759033203125
0,4,102.707275390625
0,5,103.18988037109375
0,6,106.1775894165039
0,7,118.9580307006836
0,8,115.212158203125
0,9,97.76887512207031
0,10,95.91654205322266
0,11,100.25055694580078
0,12,102.8622817993164
0,13,102.360595703125
0,14,101.3843994140625
0,15,101.67147064208984
0,16,107.28996276855469
0,17,121.82450866699219
0,18,119.57781982421875
0,19,100.48185729980469
0,20,92.65367126464844
0,21,91.81959533691406
0,22,95.68682098388672
0,23,100.31370544433594
1,0,83.05363464355469
1,1,82.98909759521484
1,2,81.40338897705078
1,3,81.91863250732422
1,4,83.16255950927734
1,5,88.45792388916016
1,6,101.54425048828125
1,7,108.94537353515625
1,8,93.6072769165039
1,9,78.24615478515625
1,10,77.59359741210938
1,11,82.129150390625
1,12,83.6541976928711
1,13,84.53125762939453
1,14,84.01500701904297
1,15,87.4909896850586
1,16,101.5945053100586
1,17,112.59143829345703
1,18,99.99307250976562
1,19,81.79889678955078
1,20,75.44637298583984
1,21,74.92778778076172
1,22,78.36896514892578
1,23,83.06118774414062
2,0,122.14363098144531
2,1,121.97712707519531
2,2,120.05792236328125
2,3,119.87428283691406
2,4,120.34701538085938
2,5,125.03497314453125
2,6,125.59069061279297
2,7,132.07029724121094
2,8,133.45753479003906
2,9,127.24165344238281
2,10,120.70481872558594
2,11,119.62930297851562
2,12,120.78886413574219
2,13,119.46427917480469
2,14,119.44903564453125
2,15,119.08846282958984
2,16,125.60781860351562
2,17,134.5718994140625
2,18,137.61488342285156
2,19,126.54000854492188
2,20,113.76014709472656
2,21,111.03973388671875
2,22,112.78780364990234
2,23,117.50389862060547
3,0,90.59088134765625
3,1,90.80447387695312
3,2,88.97270965576172
3,3,88.99430847167969
3,4,90.43546295166016
3,5,95.98779296875
3,6,117.71387481689453
3,7,113.281982421875
3,8,85.91288757324219
3,9,79.95639038085938
3,10,83.28731536865234
3,11,87.98950958251953
3,12,90.65948486328125
3,13,90.69515228271484
3,14,89.71361541748047
3,15,89.65953063964844
3,16,91.27181243896484
3,17,95.61145782470703
3,18,113.67109680175781
3,19,109.93574523925781
3,20,85.56060791015625
3,21,80.53811645507812
3,22,84.131591796875
3,23,89.31768035888672
4,0,18.91887664794922
4,1,56.36489486694336
4,2,45.16404724121094
4,3,45.95268630981445
4,4,61.72989273071289
4,5,38.890663146972656
4,6,67.78056335449219
4,7,50.281192779541016
4,8,37.526798248291016
4,9,54.276912689208984
4,10,31.30493927001953
4,11,19.16710090637207
4,12,56.26399612426758
4,13,18.026960372924805
4,14,50.68565368652344
4,15,56.19546890258789
4,16,78.11681365966797
4,17,66.71434783935547
4,18,81.35852813720703
4,19,38.24329376220703
4,20,47.64334487915039
4,21,49.95541000366211
4,22,34.44913101196289
4,23,67.58087921142578
