client_id,source_node,target_node,correlation
0,0,0,1.0
0,0,1,0.8685344236159618
0,0,2,0.8876662610711172
0,0,3,0.9000731413829756
0,0,4,0.8912097518186458
0,0,5,0.891575330422783
0,0,6,0.8915617091085888
0,0,7,0.8993030349198182
0,1,0,0.8685344236159618
0,1,1,1.0
0,1,2,0.8907728501845618
0,1,3,0.8973252360116948
0,1,4,0.8994406745735963
0,1,5,0.89814133341238
0,1,6,0.900205793805179
0,1,7,0.8967501217226341
0,2,0,0.8876662610711173
0,2,1,0.8907728501845618
0,2,2,1.0
0,2,3,0.8999492742044355
0,2,4,0.9153267897651985
0,2,5,0.9049656279851143
0,2,6,0.9170057675378859
0,2,7,0.9142184402216701
0,3,0,0.9000731413829756
0,3,1,0.8973252360116948
0,3,2,0.8999492742044355
0,3,3,1.0
0,3,4,0.9193689394211828
0,3,5,0.9029541310508251
0,3,6,0.9136257023229409
0,3,7,0.9132122899446632
0,4,0,0.8912097518186458
0,4,1,0.8994406745735962
0,4,2,0.9153267897651984
0,4,3,0.9193689394211829
0,4,4,1.0
0,4,5,0.9146124602767822
0,4,6,0.9153560326843668
0,4,7,0.9141786361068812
0,5,0,0.891575330422783
0,5,1,0.89814133341238
0,5,2,0.9049656279851144
0,5,3,0.9029541310508252
0,5,4,0.9146124602767822
0,5,5,1.0
0,5,6,0.9220885322490288
0,5,7,0.9173749488238836
0,6,0,0.8915617091085888
0,6,1,0.9002057938051788
0,6,2,0.9170057675378859
0,6,3,0.9136257023229408
0,6,4,0.9153560326843668
0,6,5,0.9220885322490288
0,6,6,1.0
0,6,7,0.9189620120802333
0,7,0,0.8993030349198182
0,7,1,0.8967501217226342
0,7,2,0.91421844022167
0,7,3,0.9132122899446633
0,7,4,0.9141786361068813
0,7,5,0.9173749488238836
0,7,6,0.9189620120802333
0,7,7,1.0
1,0,0,0.9999999999999998
1,0,1,0.7181172056465859
1,0,2,0.7344375534125579
1,0,3,0.7038172922028859
1,0,4,0.6920623373085648
1,0,5,0.7281084299770656
1,0,6,0.7751822839180169
1,0,7,0.7451317346113097
1,1,0,0.7181172056465859
1,1,1,1.0
1,1,2,0.7347377829567131
1,1,3,0.7116874333489601
1,1,4,0.7371173967529606
1,1,5,0.7582235741134916
1,1,6,0.7684327394358322
1,1,7,0.7903180115304305
1,2,0,0.7344375534125579
1,2,1,0.7347377829567132
1,2,2,1.0
1,2,3,0.7532026311430513
1,2,4,0.7467339409279936
1,2,5,0.754368888233786
1,2,6,0.7723704184539916
1,2,7,0.7784622677622186
1,3,0,0.7038172922028859
1,3,1,0.7116874333489601
1,3,2,0.7532026311430513
1,3,3,0.9999999999999998
1,3,4,0.7468409570677863
1,3,5,0.7365014707060313
1,3,6,0.7558625364111262
1,3,7,0.7697694888073593
1,4,0,0.6920623373085648
1,4,1,0.7371173967529606
1,4,2,0.7467339409279936
1,4,3,0.7468409570677863
1,4,4,1.0
1,4,5,0.7770528923728509
1,4,6,0.7777160258025041
1,4,7,0.7853496346598254
1,5,0,0.7281084299770656
1,5,1,0.7582235741134916
1,5,2,0.754368888233786
1,5,3,0.7365014707060313
1,5,4,0.7770528923728508
1,5,5,0.9999999999999998
1,5,6,0.7679246141428698
1,5,7,0.8030260528360943
1,6,0,0.7751822839180169
1,6,1,0.7684327394358321
1,6,2,0.7723704184539916
1,6,3,0.7558625364111262
1,6,4,0.777716025802504
1,6,5,0.7679246141428698
1,6,6,1.0
1,6,7,0.823554302579883
1,7,0,0.7451317346113097
1,7,1,0.7903180115304305
1,7,2,0.7784622677622185
1,7,3,0.7697694888073593
1,7,4,0.7853496346598253
1,7,5,0.8030260528360942
1,7,6,0.8235543025798829
1,7,7,1.0
2,0,0,0.9999999999999999
2,0,1,0.09923392526846574
2,0,2,0.1674408737346286
2,0,3,0.13898901157985452
2,0,4,0.1593454119883936
2,0,5,0.16873699601289768
2,0,6,0.15792082948711428
2,0,7,0.2540969763922256
2,1,0,0.09923392526846572
2,1,1,1.0
2,1,2,0.08010183503230993
2,1,3,0.14670858871489006
2,1,4,0.16626109872281095
2,1,5,0.20084778020846886
2,1,6,0.2093842202919457
2,1,7,0.2115234706363931
2,2,0,0.1674408737346286
2,2,1,0.08010183503230993
2,2,2,0.9999999999999999
2,2,3,0.09969453998226656
2,2,4,0.11889986448416467
2,2,5,0.2002814852915768
2,2,6,0.14906319859135347
2,2,7,0.180801064626969
2,3,0,0.13898901157985452
2,3,1,0.14670858871489006
2,3,2,0.09969453998226656
2,3,3,1.0
2,3,4,0.12381621532799905
2,3,5,0.16361895888306666
2,3,6,0.18586279340937809
2,3,7,0.13165008134401096
2,4,0,0.1593454119883936
2,4,1,0.16626109872281095
2,4,2,0.11889986448416466
2,4,3,0.12381621532799905
2,4,4,1.0
