node_id,expected_count,observed_unique_count,missing_count,missing_ratio,duplicate_count,invalid_flow_count,is_node_passed
1520263927,5856,5856,0,0.0,0,0,true
1520263943,5856,5856,0,0.0,0,0,true
1520264111,5856,5856,0,0.0,0,0,true
1520264147,5856,5856,0,0.0,0,0,true
1520264551,5856,5856,0,0.0,0,0,true
1520264567,5856,5856,0,0.0,0,0,true
1520264591,5856,5856,0,0.0,0,0,true
1520264599,5856,5856,0,0.0,0,0,true
1520264620,5856,5856,0,0.0,0,0,true
1520264624,5856,5856,0,0.0,0,0,true
1520264629,5856,5856,0,0.0,0,0,true
1520264641,5856,5856,0,0.0,0,0,true
1520264643,5856,5856,0,0.0,0,0,true
1520264680,5856,5856,0,0.0,0,0,true
1520264702,5856,5856,0,0.0,0,0,true
1520264720,5856,5856,0,0.0,0,0,true
1520265324,5856,5856,0,0.0,0,0,true
1520265336,5856,5856,0,0.0,0,0,true
1520265359,5856,5856,0,0.0,0,0,true
1520265361,5856,5856,0,0.0,0,0,true
1520265368,5856,5856,0,0.0,0,0,true
1520265381,5856,5856,0,0.0,0,0,true
1520265390,5856,5856,0,0.0,0,0,true
1520265412,5856,5856,0,0.0,0,0,true
1520265424,5856,5856,0,0.0,0,0,true
1520265427,5856,5856,0,0.0,0,0,true
1520265428,5856,5856,0,0.0,0,0,true
1520265432,5856,5856,0,0.0,0,0,true
1520265445,5856,5856,0,0.0,0,0,true
1520265446,5856,5856,0,0.0,0,0,true
1520265451,5856,5856,0,0.0,0,0,true
1520265457,5856,5856,0,0.0,0,0,true
1520265469,5856,5856,0,0.0,0,0,true
1520265471,5856,5856,0,0.0,0,0,true
1520265478,5856,5856,0,0.0,0,0,true
1520265480,5856,5856,0,0.0,0,0,true
1520265491,5856,5856,0,0.0,0,0,true
1520265494,5856,5856,0,0.0,0,0,true
1520265502,5856,5856,0,0.0,0,0,true
1520265504,5856,5856,0,0.0,0,0,true
1520265517,5856,5856,0,0.0,0,0,true
1520265526,5856,5856,0,0.0,0,0,true
1520265528,5856,5856,0,0.0,0,0,true
1520265532,5856,5856,0,0.0,0,0,true
1520265537,5856,5856,0,0.0,0,0,true
1520265552,5856,5856,0,0.0,0,0,true
1520266226,5856,5856,0,0.0,0,0,true
1520266261,5856,5856,0,0.0,0,0,true
1520266271,5856,5856,0,0.0,0,0,true
1520266294,5856,5856,0,0.0,0,0,true
1520266303,5856,5856,0,0.0,0,0,true
