node_id,in_observed,in_topology,status
1520263927,true,true,both
1520263943,true,true,both
1520264111,true,true,both
1520264147,true,true,both
1520264551,true,true,both
1520264567,true,true,both
1520264591,true,true,both
1520264599,true,true,both
1520264620,true,true,both
1520264624,true,true,both
1520264629,true,true,both
1520264641,true,true,both
1520264643,true,true,both
1520264680,true,true,both
1520264702,true,true,both
1520264720,true,true,both
1520265324,true,true,both
1520265336,true,true,both
1520265359,true,true,both
1520265361,true,true,both
1520265368,true,true,both
1520265381,true,true,both
1520265390,true,true,both
1520265412,true,true,both
1520265424,true,true,both
1520265427,true,true,both
1520265428,true,true,both
1520265432,true,true,both
1520265445,true,true,both
1520265446,true,true,both
1520265451,true,true,both
1520265457,true,true,both
1520265469,true,true,both
1520265471,true,true,both
1520265478,true,true,both
1520265480,true,true,both
1520265491,true,true,both
1520265494,true,true,both
1520265502,true,true,both
1520265504,true,true,both
1520265517,true,true,both
1520265526,true,true,both
1520265528,true,true,both
1520265532,true,true,both
1520265537,true,true,both
1520265552,true,true,both
1520266226,true,true,both
1520266261,true,true,both
1520266271,true,true,both
1520266294,true,true,both
1520266303,true,true,both
1520266311,true,true,both
1520266322,true,true,both
1520266334,true,true,both
1520266339,true,true,both
1520266344,true,true,both
1520266345,true,true,both
1520266352,true,true,both
1520266362,true,true,both
1520266370,true,true,both
1520266384,true,true,both
1520266392,true,true,both
1520266419,true,true,both
1520266421,true,true,both
1520266422,true,true,both
1520266425,true,true,both
1520266431,true,true,both
1520266433,true,true,both
1520266458,true,true,both
1520266472,true,true,both
1520266493,true,true,both
1520267116,true,true,both
1520267136,true,true,both
1520267145,true,true,both
1520267174,true,true,both
1520267187,true,true,both
1520267190,true,true,both
1520267193,true,true,both
1520267213,true,true,both
1520267235,true,true,both
1520267249,true,true,both
1520267251,true,true,both
1520267254,true,true,both
1520267259,true,true,both
1520267262,true,true,both
1520267290,true,true,both
1520267299,true,true,both
1520267307,true,true,both
1520267320,true,true,both
1520268161,true,true,both
1520268163,true,true,both
1520268186,true,true,both
1520269384,true,true,both
1520269434,true,true,both
1520269486,true,true,both
1520269637,true,true,both
1520269671,true,true,both
1520269684,true,true,both
1520269698,true,true,both
1520269738,true,true,both
1520270740,true,true,both
1520270750,true,true,both
1520271133,true,true,both
1520271140,true,true,both
1520271142,true,true,both
1520271148,true,true,both
1520271150,true,true,both
1520271168,true,true,both
1520271191,true,true,both
1520271192,true,true,both
1520271196,true,true,both
1520271205,true,true,both
1520271209,true,true,both
1520271212,true,true,both
1520271217,true,true,both
1520271218,true,true,both
1520271223,true,true,both
1520271224,true,true,both
1520271250,true,true,both
1520271269,true,true,both
1520271272,true,true,both
1520271273,true,true,both
1520271274,true,true,both
1520271275,true,true,both
1520271278,true,true,both
1520271284,true,true,both
1520271286,true,true,both
1520271303,true,true,both
1520271304,true,true,both
1520271311,true,true,both
1520271318,true,true,both
1520271319,true,true,both
1520271320,true,true,both
1520271321,true,true,both
1520271324,true,true,both
1520271329,true,true,both
1520271338,true,true,both
1520271343,true,true,both
1520271344,true,true,both
1520271346,true,true,both
1520271347,true,true,both
1520271348,true,true,both
1520271355,true,true,both
1520271358,true,true,both
1520271359,true,true,both
1520271382,true,true,both
1520271383,true,true,both
1520271384,true,true,both
1520271385,true,true,both
1520271386,true,true,both
1520271391,true,true,both
1520271392,true,true,both
1520271394,true,true,both
1520271405,true,true,both
1520271408,true,true,both
1520271414,true,true,both
1520271415,true,true,both
1520271420,true,true,both
1520271431,true,true,both
1520271435,true,true,both
1520271436,true,true,both
1520271437,true,true,both
1520271444,true,true,both
1520271446,true,true,both
1520271448,true,true,both
1520271452,true,true,both
1520271456,true,true,both
1520271488,true,true,both
1520271491,true,true,both
1520271493,true,true,both
1520271495,true,true,both
1520271497,true,true,both
1520271500,true,true,both
1520271507,true,true,both
1520271508,true,true,both
1520271516,true,true,both
1520271529,true,true,both
1520271530,true,true,both
1520271531,true,true,both
1520271537,true,true,both
1520271546,true,true,both
1520271547,true,true,both
1520271554,true,true,both
1520271556,true,true,both
1520271561,true,true,both
1520271564,true,true,both
1520271568,true,true,both
1520271700,true,true,both
1520271716,true,true,both
1520271743,true,true,both
1520271767,true,true,both
1520271769,true,true,both
1520271774,true,true,both
1520271779,true,true,both
1520271826,true,true,both
1520271827,true,true,both
1520271828,true,true,both
1520271833,true,true,both
1520271834,true,true,both
1520271835,true,true,both
1520271838,true,true,both
1520271839,true,true,both
1520271840,true,true,both
1520271841,true,true,both
1520271843,true,true,both
1520271844,true,true,both
1520271848,true,true,both
1520271849,true,true,both
1520271851,true,true,both
1520271854,true,true,both
1520271860,true,true,both
1520271870,true,true,both
1520271882,true,true,both
1520271884,true,true,both
1520271885,true,true,both
1520271912,true,true,both
1520271916,true,true,both
1520271917,true,true,both
1520271920,true,true,both
1520271923,true,true,both
1520271924,true,true,both
1520271939,true,true,both
1520271941,true,true,both
1520271944,true,true,both
1520271948,true,true,both
1520271949,true,true,both
1520271952,true,true,both
1520271953,true,true,both
1520271958,true,true,both
1520271960,true,true,both
1520271961,true,true,both
1520271975,true,true,both
1520272001,true,true,both
1520272012,true,true,both
1520272013,true,true,both
1520272017,true,true,both
1520272023,true,true,both
1520272024,true,true,both
1520272025,true,true,both
1520272026,true,true,both
1520272027,true,true,both
1520272028,true,true,both
1520272029,true,true,both
1520272031,true,true,both
1520272032,true,true,both
1520272034,true,true,both
1520272040,true,true,both
1520272049,true,true,both
1520272051,true,true,both
1520272061,true,true,both
1520272064,true,true,both
1520272072,true,true,both
1520272075,true,true,both
1520272100,true,true,both
1520272112,true,true,both
1520272113,true,true,both
1520272119,true,true,both
1520272122,true,true,both
1520272126,true,true,both
1520272129,true,true,both
1520272130,true,true,both
1520272136,true,true,both
1520272138,true,true,both
1520272140,true,true,both
1520272142,true,true,both
1520272143,true,true,both
1520272151,true,true,both
1520272152,true,true,both
1520272154,true,true,both
1520272161,true,true,both
1520272163,true,true,both
1520272173,true,true,both
1520272174,true,true,both
1520272175,true,true,both
1520272180,true,true,both
1520272209,true,true,both
1520274170,true,true,both
1520274180,true,true,both
1520274206,true,true,both
1520274216,true,true,both
1520274225,true,true,both
1520274251,true,true,both
1520274273,true,true,both
1520274279,true,true,both
1520274282,true,true,both
1520274308,true,true,both
1520274310,true,true,both
1520274318,true,true,both
1520274322,true,true,both
1520274323,true,true,both
1520274324,true,true,both
1520274340,true,true,both
1520274343,true,true,both
1520274345,true,true,both
1520274366,true,true,both
1520274387,true,true,both
1520274397,true,true,both
1520274432,true,true,both
1520274439,true,true,both
1520274446,true,true,both
1520274448,true,true,both
1520274464,true,true,both
1520274796,true,true,both
1520274834,true,true,both
1520274856,true,true,both
1520274861,true,true,both
1520274892,true,true,both
1520274908,true,true,both
1520275256,true,true,both
1520275536,true,true,both
1520275548,true,true,both
1520275557,true,true,both
1520275573,true,true,both
1520275588,true,true,both
1520275591,true,true,both
1520275592,true,true,both
1520275594,true,true,both
1520275600,true,true,both
1520275617,true,true,both
1520275636,true,true,both
1520275643,true,true,both
1520275644,true,true,both
1520275647,true,true,both
1520275653,true,true,both
1520275680,true,true,both
1520275692,true,true,both
1520275719,true,true,both
1520275725,true,true,both
1520275730,true,true,both
1520275797,true,true,both
1520275831,true,true,both
1520275843,true,true,both
1520275851,true,true,both
1520275853,true,true,both
1520275870,true,true,both
1520275914,true,true,both
1520276290,true,true,both
1520276301,true,true,both
1520276354,true,true,both
1520276387,true,true,both
1520276404,true,true,both
1520277020,true,true,both
1520277028,true,true,both
1520277066,true,true,both
1520277093,true,true,both
1520277145,true,true,both
1520277153,true,true,both
1520277180,true,true,both
1520277203,true,true,both
1520277205,true,true,both
1520277232,true,true,both
1520277242,true,true,both
1520277273,true,true,both
1520277297,true,true,both
1520277310,true,true,both
1520277719,true,true,both
1520277757,true,true,both
1520277759,true,true,both
1520277763,true,true,both
1520277764,true,true,both
1520277769,true,true,both
1520277794,true,true,both
1520277805,true,true,both
1520278398,true,true,both
1520278404,true,true,both
1520278409,true,true,both
1520278441,true,true,both
1520278462,true,true,both
1520278467,true,true,both
1520278487,true,true,both
1520278490,true,true,both
1520278491,true,true,both
1520278514,true,true,both
1520278526,true,true,both
1520278537,true,true,both
1520278541,true,true,both
1520278542,true,true,both
1520278578,true,true,both
1520278590,true,true,both
1520278605,true,true,both
1520278608,true,true,both
1520278615,true,true,both
1520278646,true,true,both
1520278657,true,true,both
1520278668,true,true,both
1520278669,true,true,both
1520279058,true,true,both
1520279112,true,true,both
1520279114,true,true,both
1520279115,true,true,both
1520285117,true,true,both
1520285153,true,true,both
1520285157,true,true,both
1520285163,true,true,both
1520285184,true,true,both
1520285186,true,true,both
1520285189,true,true,both
1520285190,true,true,both
1520285192,true,true,both
1520285209,true,true,both
1520285211,true,true,both
1520285214,true,true,both
1520285244,true,true,both
1520285253,true,true,both
1520285261,true,true,both
1520285263,true,true,both
1520285265,true,true,both
1520285267,true,true,both
1520285268,true,true,both
1520285269,true,true,both
1520285271,true,true,both
1520285275,true,true,both
1520285277,true,true,both
1520285278,true,true,both
1520285280,true,true,both
1520285283,true,true,both
1520285287,true,true,both
1520285288,true,true,both
1520285292,true,true,both
1520285293,true,true,both
1520285294,true,true,both
1520285296,true,true,both
1520285297,true,true,both
1520285301,true,true,both
1520285312,true,true,both
1520285372,true,true,both
1520285496,true,true,both
1520285511,true,true,both
1520285515,true,true,both
1520285517,true,true,both
1520285584,true,true,both
1520285604,true,true,both
1520285607,true,true,both
1520285657,true,true,both
1520285667,true,true,both
1520285676,true,true,both
1520285685,true,true,both
1520285696,true,true,both
1520285698,true,true,both
1520285720,true,true,both
1520285742,true,true,both
1520285761,true,true,both
1520285769,true,true,both
1520285771,true,true,both
1520285776,true,true,both
1520285788,true,true,both
1520285789,true,true,both
1520285798,true,true,both
1520285800,true,true,both
1520285802,true,true,both
1520285803,true,true,both
1520285804,true,true,both
1520285806,true,true,both
1520285809,true,true,both
1520285810,true,true,both
1520285813,true,true,both
1520285817,true,true,both
1520285820,true,true,both
1520285821,true,true,both
1520285822,true,true,both
1520285826,true,true,both
1520285827,true,true,both
1520285831,true,true,both
1520285833,true,true,both
1520285835,true,true,both
1520285840,true,true,both
1520285841,true,true,both
1520285843,true,true,both
1520285847,true,true,both
1520285848,true,true,both
1520285851,true,true,both
1520285852,true,true,both
1520285857,true,true,both
1520285863,true,true,both
1520285866,true,true,both
1520285868,true,true,both
1520285869,true,true,both
1520285870,true,true,both
1520285871,true,true,both
1520285897,true,true,both
1520285901,true,true,both
1520285902,true,true,both
1520285907,true,true,both
1520285908,true,true,both
1520285909,true,true,both
1520285910,true,true,both
1520285914,true,true,both
1520285915,true,true,both
1520285916,true,true,both
1520285929,true,true,both
1520285930,true,true,both
1520285932,true,true,both
1520285943,true,true,both
1520285947,true,true,both
1520285948,true,true,both
1520285950,true,true,both
1520285951,true,true,both
1520285952,true,true,both
1520285953,true,true,both
1520285964,true,true,both
1520285966,true,true,both
1520285967,true,true,both
1520285968,true,true,both
1520285972,true,true,both
1520285992,true,true,both
1520286018,true,true,both
1520286023,true,true,both
1520286031,true,true,both
1520286033,true,true,both
1520286052,true,true,both
1520286053,true,true,both
1520286060,true,true,both
1520286062,true,true,both
1520286064,true,true,both
1520286065,true,true,both
1520286081,true,true,both
1520286088,true,true,both
1520286090,true,true,both
1520286091,true,true,both
1520286096,true,true,both
1520286098,true,true,both
1520286101,true,true,both
1520286105,true,true,both
1520286106,true,true,both
1520286108,true,true,both
1520286111,true,true,both
1520286119,true,true,both
1520286122,true,true,both
1520286123,true,true,both
1520286258,true,true,both
1520286272,true,true,both
1520286487,true,true,both
1520286488,true,true,both
1520286489,true,true,both
